;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Rwanda;;;;;;;;;;;;;;
Samoa;;;;;;;;;;;;;;
San Marino;;;;;;;;;;;;;;
Saudi Arabia;;;;;;;;;;;2;2;4;6
Senegal;;;;;;;;;;;;;;
Serbia;;;;;;;;;;;;;1;1
Seychelles;;;;;;;1;;;;;;;
Sierra Leone;;;;;;;;;;;;;;
Singapore;;;;;;;;;;3;6;9;12;29
Slovak Republic;;;;;;;;;;1;2;2;2;1
Slovenia;;;;;;;;;;;;1;1;2
Solomon Islands;;;;;;;;;;;;;;
South Africa;;3;1;8;15;19;22;25;22;48;54;62;119;122
Spain;;;2;7;14;35;59;91;120;114;168;175;183;179
Sri Lanka;;;1;;;;;1;;1;3;4;7;9
St. Kitts and Nevis;;;;;;;;;;;;;;
St. Lucia;;;;;;;;;;;;;;
St. Vincent and the Grenadines;;;;;;;;;;;;;;
Sudan;;;;;;;;;;;;;;
Suriname;;;;;;;;;;;;;;
Swaziland;;;;;;;;;;;;;;
Sweden;2;4;5;3;2;5;7;11;11;25;72;83;108;109
Switzerland;;;2;1;1;8;11;12;17;28;32;49;68;88
Syria;;;;;;;;;;;;;;1
Taiwan Province of China;;;;1;;;;;2;5;14;16;17;14
Tajikistan;;;;;;;;;;;;;;
Tanzania;;;;;;;;;;;;;;
Thailand;;;;;;;;;1;2;3;4;11;13
Timor-Leste;;;;;;;;;;;;;;
Togo;;;;;;;;;;;;;;
Tonga;;;;;;;;;;;;;;
Trinidad and Tobago;;;;;;;;;;;;;;
Tunisia;;;;;;;;;;;;;;
Turkey;;;;;;;1;1;2;5;3;10;21;23
Turkmenistan;;;;;;;;;;;;;;
Tuvalu;;;;;;;;;;;;;;
Uganda;;;;;1;;;;;;;;;
Ukraine;;;;;;;;;;1;;3;2;2
United Arab Emirates;;;;;;;;;2;2;7;17;13;14
United Kingdom;1;8;20;19;13;16;20;27;31;50;52;71;75;81
United States;4;8;22;27;24;36;35;43;69;116;140;181;255;271
Uruguay;;;;;;;;;;;1;3;3;3
Uzbekistan;;;;;;;;;;;;;;
Vanuatu;;;;;;;;;;;;;;
Venezuela;;;;;;;;2;1;1;1;2;1;2
Vietnam;;;;;;;;;;;;;1;5
Yemen;;;;;;;;;;;;;;
Zambia;;;;;;;;;;;;;;
Zimbabwe;;;;;1;;;;;;;;;
